"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5143","Locating Child Elements","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","4741","Extracting Values","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","20620","Locator Syntax Rules","firefox","2025-12-03","failed","2025-12-03","","firstTest.test.ts","",""
"","4845","Reusing Locators","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","4857","User facing locators","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","3487","Checkboxes","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","17859","Timeouts","dev","2025-12-03","passed","2025-12-03","","autoWaiting.test.ts","",""
"","5896","Web Tables","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","17379","Alternative Waits","chromium","2025-12-03","passed","2025-12-03","","autoWaiting.test.ts","",""
"","4170","Radio Buttons","chromium","2025-12-03","passed","2025-12-03","Form Layouts Page","uiComponents.test.ts","",""
"","3082","Datepicker","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","3970","input fields","chromium","2025-12-03","passed","2025-12-03","","testMobile.test.ts","",""
"","13956","User facing locators","firefox","2025-12-03","failed","2025-12-03","","firstTest.test.ts","",""
"","4432","Locator Syntax Rules","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","11270","Reusing Locators","firefox","2025-12-03","failed","2025-12-03","","firstTest.test.ts","",""
"","5593","User facing locators","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","3263","Dialog Box","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","3359","Radio Buttons","dev","2025-12-03","passed","2025-12-03","Form Layouts Page","uiComponents.test.ts","",""
"","5515","Drag & drop with iFrames","chromium","2025-12-03","passed","2025-12-03","","dragAndDropwithiFrames.test.ts","",""
"","19634","Locating Child Elements","firefox","2025-12-03","failed","2025-12-03","","firstTest.test.ts","",""
"","4496","Locating Child Elements","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","5215","Extracting Values","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","10924","Input Fields","dev","2025-12-03","passed","2025-12-03","Form Layouts Page","uiComponents.test.ts","",""
"","6809","Web Tables","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","18086","Alternative Waits","dev","2025-12-03","passed","2025-12-03","","autoWaiting.test.ts","",""
"","17914","Auto Waiting in Playwright","dev","2025-12-03","passed","2025-12-03","","autoWaiting.test.ts","",""
"","17404","Auto Waiting in Playwright","chromium","2025-12-03","passed","2025-12-03","","autoWaiting.test.ts","",""
"","3483","Tooltips","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","7315","Drag & drop with iFrames","dev","2025-12-03","passed","2025-12-03","","dragAndDropwithiFrames.test.ts","",""
"","10757","Input Fields","chromium","2025-12-03","passed","2025-12-03","Form Layouts Page","uiComponents.test.ts","",""
"","4050","Locator Syntax Rules","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","3036","Datepicker","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","3643","Assertions","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","17435","Timeouts","chromium","2025-12-03","passed","2025-12-03","","autoWaiting.test.ts","",""
"","4500","Parameterized Methods","dev","2025-12-03","passed","2025-12-03","","usePageObjects.test.ts","",""
"","3684","Checkboxes","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","75","Extracting Values","firefox","2025-12-03","failed","2025-12-03","","firstTest.test.ts","",""
"","6464","input fields","mobile","2025-12-03","passed","2025-12-03","","testMobile.test.ts","",""
"","34","Alternative Waits","firefox","2025-12-03","skipped","2025-12-03","","autoWaiting.test.ts","",""
"","3542","Dialog Box","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","3591","Assertions","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","5469","Reusing Locators","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","12324","Locating Parent Elements","firefox","2025-12-03","failed","2025-12-03","","firstTest.test.ts","",""
"","5147","Locating Parent Elements","dev","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","3452","Tooltips","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","3456","input fields","dev","2025-12-03","passed","2025-12-03","","testMobile.test.ts","",""
"","17661","Timeouts","firefox","2025-12-03","failed","2025-12-03","","autoWaiting.test.ts","",""
"","4905","Lists and Dropdowns","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","4997","Lists and Dropdowns","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","15054","Auto Waiting in Playwright","firefox","2025-12-03","failed","2025-12-03","","autoWaiting.test.ts","",""
"","2651","Sliders","dev","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","5598","Navigate to form page","chromium","2025-12-03","passed","2025-12-03","","usePageObjects.test.ts","",""
"","5663","Locating Parent Elements","chromium","2025-12-03","passed","2025-12-03","","firstTest.test.ts","",""
"","5021","Parameterized Methods","chromium","2025-12-03","passed","2025-12-03","","usePageObjects.test.ts","",""
"","15518","Drag & drop with iFrames","firefox","2025-12-03","failed","2025-12-03","","dragAndDropwithiFrames.test.ts","",""
"","2390","Sliders","chromium","2025-12-03","passed","2025-12-03","","uiComponents.test.ts","",""
"","4824","Navigate to form page","dev","2025-12-03","passed","2025-12-03","","usePageObjects.test.ts","",""
